<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;20140113;000000;8497.7000000;8550.0000000;8050.0000000;8258.5000000;438238
MGNT;D;20140114;000000;8200.0000000;8500.0000000;8073.0000000;8414.0000000;283378
MGNT;D;20140115;000000;8465.0000000;9020.0000000;8432.1000000;8902.9000000;496478
MGNT;D;20140116;000000;8893.0000000;9139.7000000;8883.0000000;9025.5000000;336623
MGNT;D;20140117;000000;9000.0000000;9093.8000000;8825.0000000;8975.5000000;236919
MGNT;D;20140120;000000;8928.7000000;8995.5000000;8651.1000000;8714.0000000;146457
MGNT;D;20140121;000000;8728.9000000;8807.7000000;8352.2000000;8413.2000000;251057
MGNT;D;20140122;000000;8399.0000000;8420.0000000;8032.8000000;8250.0000000;402276
MGNT;D;20140123;000000;8249.4000000;8470.0000000;8120.0000000;8283.0000000;346851
MGNT;D;20140124;000000;8227.2000000;8350.0000000;8102.2000000;8266.1000000;229326
MGNT;D;20140127;000000;8140.1000000;8600.0000000;8000.0000000;8249.9000000;420849
MGNT;D;20140128;000000;8208.0000000;8468.9000000;8157.0000000;8232.1000000;352171
MGNT;D;20140129;000000;8299.0000000;8485.9000000;8150.0000000;8290.0000000;414011
MGNT;D;20140130;000000;8256.0000000;8327.1000000;7862.0000000;8116.3000000;608569
MGNT;D;20140131;000000;8150.0000000;8432.9000000;8040.0000000;8395.0000000;662021
MGNT;D;20140203;000000;8448.9000000;8663.8000000;8390.0000000;8554.1000000;250973
MGNT;D;20140204;000000;8486.3000000;8582.1000000;8351.0000000;8412.5000000;176444
MGNT;D;20140205;000000;8435.0000000;8591.0000000;8370.4000000;8540.2000000;131346
MGNT;D;20140206;000000;8555.0000000;8646.0000000;8471.1000000;8540.0000000;145173
MGNT;D;20140207;000000;8543.3000000;8614.5000000;8395.5000000;8455.0000000;136080
MGNT;D;20140210;000000;8435.0000000;8511.0000000;8201.7000000;8280.0000000;204518
MGNT;D;20140211;000000;8295.0000000;8349.5000000;8184.0000000;8249.9000000;173842
MGNT;D;20140212;000000;8270.0000000;8410.0000000;8237.0000000;8409.9000000;131073
MGNT;D;20140213;000000;8408.0000000;8579.8000000;8390.0000000;8435.0000000;222279
MGNT;D;20140214;000000;8456.0000000;8555.0000000;8361.2000000;8554.1000000;148734
MGNT;D;20140217;000000;8551.1000000;8629.9000000;8475.0000000;8617.2000000;182696
MGNT;D;20140218;000000;8600.0000000;8689.0000000;8545.0000000;8584.0000000;100360
MGNT;D;20140219;000000;8580.0000000;8770.0000000;8571.0000000;8735.0000000;151649
MGNT;D;20140220;000000;8681.1000000;8737.0000000;8523.0000000;8719.9000000;158585
MGNT;D;20140221;000000;8739.0000000;8789.0000000;8722.2000000;8730.0000000;110354
MGNT;D;20140224;000000;8710.1000000;8785.1000000;8668.1000000;8743.2000000;82599
MGNT;D;20140225;000000;8796.0000000;8885.0000000;8720.0000000;8755.7000000;109562
MGNT;D;20140226;000000;8770.0000000;8842.1000000;8767.0000000;8810.0000000;101852
MGNT;D;20140227;000000;8810.0000000;8858.9000000;8420.1000000;8732.0000000;276630
MGNT;D;20140228;000000;8749.3000000;8820.0000000;8250.1000000;8760.0000000;193013
MGNT;D;20140303;000000;8499.9000000;8500.0000000;7432.9000000;7748.6000000;545246
MGNT;D;20140304;000000;7836.7000000;8631.0000000;7803.2000000;8553.4000000;694906
MGNT;D;20140305;000000;8552.5000000;8586.9000000;8311.0000000;8450.0000000;232027
MGNT;D;20140306;000000;8398.0000000;8519.0000000;7775.3000000;8149.0000000;455369
MGNT;D;20140307;000000;8066.8000000;8150.0000000;7870.0000000;7880.0000000;282898
MGNT;D;20140311;000000;7799.9000000;7800.0000000;7430.0000000;7645.4000000;293259
MGNT;D;20140312;000000;7599.9000000;7764.3000000;7451.6000000;7715.0000000;245055
MGNT;D;20140313;000000;7749.8000000;7827.3000000;7600.1000000;7630.0000000;343763
MGNT;D;20140314;000000;7502.3000000;7624.5000000;6667.3000000;7420.0000000;846466
MGNT;D;20140317;000000;7490.1000000;7948.5000000;7412.1000000;7883.7000000;869673
MGNT;D;20140318;000000;7949.0000000;8197.9000000;7771.3000000;8082.2000000;388211
MGNT;D;20140319;000000;8082.2000000;8254.9000000;7843.9000000;7900.0000000;282183
MGNT;D;20140320;000000;7727.1000000;7992.6000000;7681.6000000;7970.3000000;182136
MGNT;D;20140321;000000;7861.5000000;7861.5000000;7570.0000000;7684.0000000;380111
MGNT;D;20140324;000000;7720.3000000;7975.5000000;7611.1000000;7660.1000000;134664
MGNT;D;20140325;000000;7670.3000000;7900.0000000;7525.0000000;7791.0000000;178977
MGNT;D;20140326;000000;7848.8000000;8025.0000000;7700.3000000;7976.0000000;192157
MGNT;D;20140327;000000;7915.0000000;8000.0000000;7663.0000000;7818.9000000;222809
MGNT;D;20140328;000000;7868.1000000;7949.9000000;7803.4000000;7836.6000000;127760
MGNT;D;20140331;000000;7879.9000000;8100.0000000;7811.6000000;8100.0000000;132971
MGNT;D;20140401;000000;8120.3000000;8315.9000000;8026.4000000;8300.0000000;251924
MGNT;D;20140402;000000;8310.1000000;8435.0000000;8232.3000000;8400.0000000;151116
MGNT;D;20140403;000000;8418.9000000;8562.8000000;8275.0000000;8400.0000000;164547
