национальность;рост;масса;ширина плеч;ширина таза
рус;151,5;52,4;37;28
рус;171;48;34;27
рус;159;76,6;39;39
рус;169;70;38;31,5
рус;172;61;37,5;30,5
рус;171;59;36,5;30,5
рус;160;54;33,5;29,5
рус;165;58;34,5;30,5
рус;161;73;36;31
рус;158;48;33;26,5
рус;166;55,4;36;30
рус;155;60;36;31
рус;157;52,5;35;29
рус;172;72;37;37
рус;160;62;35;35
рус;162;70;37;34
рус;176;72;39;39
рус;174;74;41;39
рус;168;65;38;39
рус;166;56;33;26,5
рус;159;77,5;37,5;30
рус;161;66,3;35,5;30
рус;173,5;63;37;31
рус;163;63;36;31
рус;167;63;34,5;30
рус;163;59;36;29
рус;169;75;37;36
рус;161;57,3;30,5;26
рус;156,5;56,2;34,5;27,5
рус;162;51,8;32,5;25
рус;155,5;50,8;33;25
рус;155;58,1;36,5;27
рус;164;55,5;32,5;28
рус;150;40;32,5;24,5
рус;158,5;44,8;29,5;25,5
рус;169;60,2;36,5;27,5
рус;157;49,1;35;26,5
рус;159,5;62;36;28
рус;164,5;56,3;35;27,5
рус;164,5;79,7;36,5;30
рус;166;48;33;25
рус;171;61,8;37;29
рус;160,5;51,6;31,5;25,5
рус;171;65,2;39,5;29,5
рус;168;92;39;28
рус;162;47,5;35;27
рус;159;48;29,5;26,5
рус;180;79,9;40,5;30
рус;162;70;35,5;25
рус;168;63;37;30
рус;160;48;35;25
рус;163;54;31,5;28
рус;150;44,3;32,5;26
рус;165;61,5;35,3;29
рус;162;50,9;32;27
рус;168;52,5;31;27,5
рус;158;56,8;37,5;28
рус;167;50,5;34,5;28
рус;164;49,3;35,5;28
рус;170;60,6;36;28
рус;174;59,5;36;27
рус;168;58;36;27,5
рус;154;44,3;33;24
рус;161;52,7;36;27,5
рус;160,5;77,2;36;31
рус;161;54,9;36;26,5
рус;166,5;54;35;28
рус;160;48;36;25,5
рус;176;53;37,5;30,5
рус;167;70,5;35,5;27,5
рус;163,5;58;36;26,5
рус;159;74;35,5;26,5
рус;157,8;48;33;26
рус;158;54;34,5;24
рус;165;59;34,5;27
рус;178;78;35;34,5
рус;173,8;82;38,5;30
рус;160,5;61;36,5;30
рус;177,3;81;41;29
рус;162,5;49;31;25,5
рус;150,4;48;33;24,5
рус;157,1;64;36;26
рус;170;55;27;27
рус;166,5;49;36,5;23,5
рус;171,7;52,5;36;28
рус;159;51,2;33,5;25,5
рус;165,5;54,2;35,5;27,5
рус;168,3;49,6;33;28
рус;164,7;55,2;36;27
рус;160,3;47,4;31;24
рус;162,7;61,1;38;26,5
рус;156,5;42,1;32,5;25,5
рус;158;48,8;33;25,5
рус;167;62;33,5;27,5
рус;168,5;54,3;35,5;27,5
рус;169,5;67,4;39,5;26,5
рус;170;53,6;34;28
рус;152,5;47,4;34;24,5
рус;159,3;91;37,5;30,5
рус;169;80,8;38;31,5
рус;165,5;50,5;35;26
рус;164;58;34;29,2
рус;166,5;55;35;28
рус;160,5;67,1;36;27
рус;163;73,1;37,5;28,5
рус;177,5;76,9;42;26,5
рус;158,7;51,4;31,5;24,2
рус;160;61;36,5;28
рус;168,7;42,4;33,7;28
рус;166,5;59;35;28,5
рус;164,5;64,8;35;30
рус;170,5;52,4;37,5;27
рус;164;61;31;29
рус;164;61,9;31,5;27
рус;155;53;33;27
рус;160;59;35;27
рус;165;50;35;28
рус;159;50;32;28
рус;162;51;35;28
рус;151;44;33;25
рус;167;50;32;27
рус;155;50;32;26
рус;165;64;36;28
рус;171;44;31;28
рус;167;65;37;29
рус;151;47;34;25
рус;166;48,5;36;26
рус;157;45;35;26
рус;164;62;36;26
рус;167;62;33;26
рус;162;80;36;29
рус;166;59;35;27
рус;166;58;36;29
рус;160;55;34;26
рус;171;99;38;29
рус;165;51;32;26
рус;168;71;38;27
рус;161;50;35;26
рус;165;54;36;16
рус;167;58;37;27
рус;170;74;38;27
рус;160;54;34;28
рус;159;50;33;24
рус;168;42;34;26
рус;163;57;30;26
рус;167;65;37;26
рус;167;55;35;27
рус;162;53;36;25
рус;163;63;35;27
рус;169;58;35;28
рус;161;61,1;38;26
рус;165;65;36;29
рус;168;69;39;28
рус;166;53;35;28
рус;172;59;36;29
рус;165;58;26;28
рус;158;45,5;32;26
рус;164;69;36;27
рус;167;58,5;33;28
рус;162;48,2;33;27
рус;165;59,2;35;27
рус;168;53,9;35;27
рус;168;63,6;37;28
рус;161;59,6;38;27
рус;172;82;37;30
рус;172;61,2;37;30
рус;162;56;34;27
рус;167;59,9;34;28
рус;173;53,5;34;26
рус;163;55;37;27
рус;171;69,4;37;28
рус;170;56,7;35;27
рус;160;65,3;36;28
рус;170;58,5;35;28
рус;156;77,7;38;26
рус;168;72,4;35;27
рус;159;42;35;26
рус;167;54,5;34;25
рус;171;58,6;33;28
рус;164;54,1;37;27
рус;170;62,2;37;25
рус;159;58,8;35;27
рус;156;106;35;28
рус;164;54,3;35;26
рус;158;51,6;37;29
рус;162;46,3;34;27
рус;159;48,1;33;27
рус;155;83;37;28
рус;164;67,9;36;28
рус;160;58,4;32;26
рус;169;55,3;36;27
рус;173;77,6;39;27
рус;163;61,1;33;25
рус;162;43,6;31;24
рус;159;45,1;35;26
рус;158;54,6;32;23
рус;173;48,4;37;30
рус;154;45,6;32;28
рус;161;40;34;25
рус;165;52,8;36;27
рус;172;74;37;28
рус;158,5;46,2;34;26
рус;158;55,1;35;25
рус;160;49;32;25
рус;164;71;32;18
рус;173;50,6;34;28
рус;160;78,8;38;30
рус;163;54,4;37;26
рус;163;49,7;36;25
рус;169;73,8;40;30
рус;158;44,9;33;23
рус;170;54;35;28
рус;170;61;37;27
рус;166;54,8;35;27
рус;163;48,6;34;27
рус;147;42,7;32;27
рус;156;44,4;30;25
рус;165;58,7;35;28
рус;168;49,8;33;27
рус;169;55,8;34;28
рус;177;60,5;36;28
рус;163;43,8;34;25
рус;163;50,8;35;27
рус;162,5;44,6;36;26
рус;149;66,8;35;26
рус;170;68;36;27
рус;158;49,1;33;27
рус;158;57;34;27
рус;159;45;34;27
рус;176;62,3;36;26
рус;175;71;37;29
рус;172;58,5;36;27
рус;165;54;35;27
рус;169;62;35;23
рус;158;67;35;26
рус;171;65,3;37;31
рус;167;54,5;32;27
рус;152;57,9;35;26
рус;161;55;34;27
